lempos,lemma,PoS_CLAN,n,PoS_type
box@v,box,v,2,lexical
boy@adj,boy,adj,20,lexical
boy@co,boy,co,19,non-lexical
boy@n,boy,n,309,lexical
brace@n,brace,n,1,lexical
brace@v,brace,v,2,lexical
bracelet@n,bracelet,n,5,lexical
brachiosaurus@n,brachiosaurus,n,1,lexical
bracken@n,bracken,n,1,lexical
bracket@n,bracket,n,1,lexical
brady_silvia@n:prop,brady_silvia,n:prop,1,non-lexical
brag@n,brag,n,1,lexical
brag@part,brag,part,1,lexical
braid@n,braid,n,2,lexical
braid@v,braid,v,1,lexical
brain@adj,brain,adj,6,lexical
brain@n,brain,n,21,lexical
bramble@adj,bramble,adj,1,lexical
bramble@n,bramble,n,11,lexical
branch@n,branch,n,69,lexical
brand@adj,brand,adj,7,lexical
brandish@part,brandish,part,1,lexical
brandy@n,brandy,n,2,lexical
brat@n,brat,n,4,lexical
brave@adj,brave,adj,18,lexical
brave@adv,brave,adv,3,lexical
brave@n,brave,n,14,lexical
brave@part,brave,part,1,lexical
brave@v,brave,v,1,lexical
bravery@n,bravery,n,1,lexical
bravo@co,bravo,co,11,non-lexical
bray@part,bray,part,1,lexical
bray@v,bray,v,1,lexical
bread@n,bread,n,40,lexical
breadcrumb@n,breadcrumb,n,1,lexical
break@n,break,n,13,lexical
break@n:gerund,break,n:gerund,1,lexical
break@part,break,part,36,lexical
break@v,break,v,28,lexical
breakfast@n,breakfast,n,85,lexical
breakneck@n:prop,breakneck,n:prop,1,non-lexical
breakthrough@n,breakthrough,n,1,lexical
breath@adj,breath,adj,3,lexical
breath@adv,breath,adv,1,non-lexical
breath@n,breath,n,63,lexical
breathe@n:gerund,breathe,n:gerund,4,lexical
breathe@part,breathe,part,24,lexical
breathe@v,breathe,v,18,lexical
breech@n,breech,n,1,lexical
breed@n,breed,n,1,lexical
breed@part,breed,part,1,lexical
breed@v,breed,v,1,lexical
breeze@n,breeze,n,5,lexical
brew@n,brew,n,2,lexical
brew@v,brew,v,1,lexical
brian@adj,brian,adj,1,lexical
brian@n:prop,brian,n:prop,4,non-lexical
brick@n,brick,n,10,lexical
bride@n,bride,n,5,lexical
bridegroom@n,bridegroom,n,2,lexical
bridge@n,bridge,n,25,lexical
bridge@v,bridge,v,1,lexical
brief@adj,brief,adj,1,lexical
brief@n,brief,n,1,lexical
briefcase@n,briefcase,n,4,lexical
brigade@n,brigade,n,3,lexical
bright@adj,bright,adj,77,lexical
bright@adv,bright,adv,9,lexical
brighten@part,brighten,part,3,lexical
brighten@v,brighten,v,2,lexical
brigitta@n:prop,brigitta,n:prop,2,non-lexical
brilliant@adj,brilliant,adj,33,lexical
brilliant@adv,brilliant,adv,4,lexical
brillident@n:prop,brillident,n:prop,1,non-lexical
brim@adj,brim,adj,1,lexical
brim@n,brim,n,5,lexical
brim@part,brim,part,1,lexical
bring@n,bring,n,3,lexical
bring@n:gerund,bring,n:gerund,1,lexical
bring@part,bring,part,32,lexical
bring@v,bring,v,110,lexical
brisk@adv,brisk,adv,1,lexical
bristle@adj,bristle,adj,4,lexical
bristle@n,bristle,n,5,lexical
bristle@part,bristle,part,2,lexical
britain@n:prop,britain,n:prop,1,non-lexical
british@adj,british,adj,2,lexical
broach@v,broach,v,1,lexical
broad@adj,broad,adj,8,lexical
broad@adv,broad,adv,1,lexical
broke@adj,broke,adj,4,lexical
brooch@n,brooch,n,8,lexical
brood@n,brood,n,1,lexical
broom@n,broom,n,43,lexical
broth@n,broth,n,1,lexical
brother@adj,brother,adj,2,lexical
brother@n,brother,n,84,lexical
brow@n,brow,n,2,lexical
brown@adj,brown,adj,121,lexical
brown@n,brown,n,2,lexical
brown@n:prop,brown,n:prop,9,non-lexical
brown@v,brown,v,16,lexical
brr@co,brr,co,4,non-lexical
brrrm_brrrm@on,brrrm_brrrm,on,1,non-lexical
bruise@part,bruise,part,2,lexical
bruise@v,bruise,v,2,lexical
brush@n,brush,n,18,lexical
brush@part,brush,part,5,lexical
brush@v,brush,v,20,lexical
brussel@n,brussel,n,1,lexical
brutal@adj,brutal,adj,1,lexical
brute@n,brute,n,16,lexical
bryony@n:prop,bryony,n:prop,1,non-lexical
bs@meta,bs,meta,7,non-lexical
bubble@adj,bubble,adj,2,lexical
bubble@n,bubble,n,30,lexical
bubble@n:gerund,bubble,n:gerund,2,lexical
bubble@part,bubble,part,5,lexical
bubble@v,bubble,v,5,lexical
buck@adj,buck,adj,3,lexical
buck@part,buck,part,1,lexical
buck@v,buck,v,3,lexical
bucket@n,bucket,n,35,lexical
buckingham@n:prop,buckingham,n:prop,3,non-lexical
buckle@n,buckle,n,4,lexical
buckswashling@wplay,buckswashling,wplay,1,non-lexical
bud@n,bud,n,3,lexical
bud@part,bud,part,1,lexical
budge@v,budge,v,2,lexical
budgie@n,budgie,n,1,lexical
buffalo@n,buffalo,n,3,lexical
buffet@part,buffet,part,1,lexical
buffy_craythorne@n:prop,buffy_craythorne,n:prop,1,non-lexical
bufonophobia@n,bufonophobia,n,1,lexical
bug@co,bug,co,2,non-lexical
bug@n,bug,n,25,lexical
bug@v,bug,v,10,lexical
buggles@wplay,buggles,wplay,1,non-lexical
buggy@n,buggy,n,2,lexical
bugswallop@wplay,bugswallop,wplay,1,non-lexical
bugwhiffles@n:prop,bugwhiffles,n:prop,1,non-lexical
build@n,build,n,3,lexical
build@part,build,part,8,lexical
build@v,build,v,32,lexical
building@n,building,n,15,lexical
bulb@n,bulb,n,3,lexical
bulge@n:gerund,bulge,n:gerund,3,lexical
bulge@part,bulge,part,10,lexical
bulge@v,bulge,v,1,lexical
bull@n,bull,n,7,lexical
bulldog@n,bulldog,n,3,lexical
bulldoze@n,bulldoze,n,1,lexical
bullet@n,bullet,n,2,lexical
bullock@n,bullock,n,1,lexical
bullocks@n,bullocks,n,3,lexical
bully@n,bully,n,6,lexical
bully@part,bully,part,1,lexical
bully@v,bully,v,1,lexical
bum@n,bum,n,4,lexical
