lempos,lemma,PoS_CLAN,n,PoS_type
skill@n,skill,n,2,lexical
skilled@adj,skilled,adj,2,lexical
skillywiggler@wplay,skillywiggler,wplay,2,non-lexical
skim@part,skim,part,2,lexical
skim@v,skim,v,2,lexical
skin@adj,skin,adj,10,lexical
skin@n,skin,n,34,lexical
skip@n,skip,n,2,lexical
skip@part,skip,part,4,lexical
skip@v,skip,v,6,lexical
skirt@n,skirt,n,8,lexical
skitter_scatter@on,skitter_scatter,on,1,non-lexical
skookums@wplay,skookums,wplay,2,non-lexical
skulk@part,skulk,part,1,lexical
skull@n,skull,n,9,lexical
skumping@wplay,skumping,wplay,1,non-lexical
skunk@n,skunk,n,4,lexical
sky@n,sky,n,93,lexical
skyline@n,skyline,n,1,lexical
skyscraper@n,skyscraper,n,2,lexical
slab@n,slab,n,2,lexical
slam@n,slam,n,2,lexical
slam@part,slam,part,7,lexical
slam@v,slam,v,6,lexical
slant@part,slant,part,1,lexical
slap@n,slap,n,6,lexical
slap@part,slap,part,1,lexical
slap@v,slap,v,1,lexical
slash@n,slash,n,1,lexical
slash@part,slash,part,2,lexical
slate@n,slate,n,1,lexical
slave@n,slave,n,4,lexical
slave@part,slave,part,1,lexical
slay@n,slay,n,1,lexical
slay@v,slay,v,1,lexical
sledge@n,sledge,n,1,lexical
sleep@adj,sleep,adj,14,lexical
sleep@adv,sleep,adv,3,non-lexical
sleep@n,sleep,n,86,lexical
sleep@n:gerund,sleep,n:gerund,11,lexical
sleep@part,sleep,part,48,lexical
sleep@v,sleep,v,64,lexical
sleepover@n,sleepover,n,17,lexical
sleeve@n,sleeve,n,12,lexical
sleeved@adj,sleeved,adj,1,lexical
sleigh@n,sleigh,n,11,lexical
sleigh@part,sleigh,part,1,lexical
slender@adj,slender,adj,1,lexical
slice@n,slice,n,16,lexical
slice@part,slice,part,4,lexical
slice@v,slice,v,2,lexical
slide@adj,slide,adj,2,lexical
slide@n,slide,n,14,lexical
slide@part,slide,part,4,lexical
slide@v,slide,v,10,lexical
slight@adj,slight,adj,7,lexical
slight@adv,slight,adv,15,lexical
slim@adj,slim,adj,8,lexical
slime@adj,slime,adj,16,lexical
slime@n,slime,n,11,lexical
slime_wanglers@n:prop,slime_wanglers,n:prop,1,non-lexical
sling@n,sling,n,1,lexical
sling@v,sling,v,4,lexical
slink@n,slink,n,1,lexical
slink@n:gerund,slink,n:gerund,1,lexical
slink@v,slink,v,9,lexical
slip@n,slip,n,12,lexical
slip@part,slip,part,9,lexical
slip@v,slip,v,37,lexical
slipper@n,slipper,n,20,lexical
slippery@adj,slippery,adj,9,lexical
slit@n,slit,n,1,lexical
slit@part,slit,part,1,lexical
slither@part,slither,part,2,lexical
slither@v,slither,v,8,lexical
slob@n,slob,n,2,lexical
slog@v,slog,v,1,lexical
slop@adj,slop,adj,1,lexical
slop@n,slop,n,2,lexical
slop@part,slop,part,1,lexical
slop@v,slop,v,1,lexical
slope@n,slope,n,6,lexical
slopgroggled@wplay,slopgroggled,wplay,1,non-lexical
slosh@part,slosh,part,2,lexical
slosh@v,slosh,v,5,lexical
sloshbuckling@wplay,sloshbuckling,wplay,1,non-lexical
sloshflunking@wplay,sloshflunking,wplay,1,non-lexical
slot@n,slot,n,6,lexical
slow@adj,slow,adj,17,lexical
slow@adv,slow,adv,99,lexical
slow@part,slow,part,4,lexical
slow@v,slow,v,8,lexical
sludge@adj,sludge,adj,1,lexical
sludge@n,sludge,n,3,lexical
slug@n,slug,n,16,lexical
slumber@part,slumber,part,2,lexical
slump@n,slump,n,1,lexical
slump@v,slump,v,4,lexical
slurp@part,slurp,part,3,lexical
slurp@v,slurp,v,2,lexical
slushbungle@wplay,slushbungle,wplay,2,non-lexical
sly@adj,sly,adj,2,lexical
sly@adv,sly,adv,1,lexical
smack@n,smack,n,1,lexical
smack@n:gerund,smack,n:gerund,1,lexical
smack@v,smack,v,3,lexical
small@adj,small,adj,235,lexical
smart@adj,smart,adj,31,lexical
smart@adv,smart,adv,2,lexical
smart@v,smart,v,4,lexical
smash@n,smash,n,7,lexical
smash@part,smash,part,4,lexical
smash@v,smash,v,3,lexical
smear@n:gerund,smear,n:gerund,1,lexical
smear@part,smear,part,5,lexical
smear@v,smear,v,4,lexical
smell@adj,smell,adj,16,lexical
smell@n,smell,n,44,lexical
smell@part,smell,part,14,lexical
smell@v,smell,v,29,lexical
smile@n,smile,n,51,lexical
smile@part,smile,part,45,lexical
smile@v,smile,v,110,lexical
smiley@adj,smiley,adj,1,lexical
smirk@n,smirk,n,1,lexical
smirk@part,smirk,part,2,lexical
smirk@v,smirk,v,1,lexical
smith@n:prop,smith,n:prop,2,non-lexical
smithereens@n,smithereens,n,1,lexical
smoke@adj,smoke,adj,4,lexical
smoke@n,smoke,n,14,lexical
smoke@part,smoke,part,7,lexical
smoke@v,smoke,v,1,lexical
smooth@adj,smooth,adj,10,lexical
smooth@adv,smooth,adv,5,lexical
smooth@part,smooth,part,2,lexical
smooth@v,smooth,v,2,lexical
smother@part,smother,part,2,lexical
smother@v,smother,v,2,lexical
smudge@adj,smudge,adj,1,lexical
smug@adv,smug,adv,1,lexical
smuggle@part,smuggle,part,1,lexical
sn@co,sn,co,2,non-lexical
snack@n,snack,n,13,lexical
snack@part,snack,part,1,lexical
snack@v,snack,v,1,lexical
snaffled@wplay,snaffled,wplay,1,non-lexical
snag@v,snag,v,1,lexical
snail@adj,snail,adj,1,lexical
snail@n,snail,n,76,lexical
snake@adj,snake,adj,4,lexical
snake@n,snake,n,63,lexical
snake@part,snake,part,1,lexical
snap@n,snap,n,5,lexical
snap@part,snap,part,4,lexical
snap@v,snap,v,30,lexical
snapdragon@n,snapdragon,n,1,lexical
snapperwhippers@n:prop,snapperwhippers,n:prop,1,non-lexical
snare@n,snare,n,1,lexical
snarl@n,snarl,n,1,lexical
snarl@n:gerund,snarl,n:gerund,2,lexical
snarl@part,snarl,part,5,lexical
snarl@v,snarl,v,11,lexical
snatch@n,snatch,n,2,lexical
snatch@part,snatch,part,12,lexical
snatch@v,snatch,v,34,lexical
sneak@adj,sneak,adj,1,lexical
sneak@n,sneak,n,8,lexical
sneak@part,sneak,part,5,lexical
sneak@v,sneak,v,21,lexical
sneaker@n,sneaker,n,1,lexical
sneer@part,sneer,part,9,lexical
sneeze@n,sneeze,n,10,lexical
sneeze@n:gerund,sneeze,n:gerund,2,lexical
sneeze@part,sneeze,part,7,lexical
sneeze@v,sneeze,v,27,lexical
snicker@n:gerund,snicker,n:gerund,5,lexical
snicker@part,snicker,part,5,lexical
sniff@adj,sniff,adj,1,lexical
sniff@n,sniff,n,2,lexical
sniff@n:gerund,sniff,n:gerund,1,lexical
sniff@part,sniff,part,5,lexical
sniff@v,sniff,v,50,lexical
sniffle@n,sniffle,n,1,lexical
sniffle@v,sniffle,v,2,lexical
snigger@v,snigger,v,2,lexical
sniggler@wplay,sniggler,wplay,1,non-lexical
snip@n,snip,n,1,lexical
snip@v,snip,v,13,lexical
snipsy@wplay,snipsy,wplay,1,non-lexical
snitch@adj,snitch,adj,1,lexical
snitch@part,snitch,part,6,lexical
snitchet@wplay,snitchet,wplay,1,non-lexical
snivel@part,snivel,part,2,lexical
snnnooorrre@co,snnnooorrre,co,1,non-lexical
snob@adj,snob,adj,1,lexical
snob@n,snob,n,1,lexical
snoop@v,snoop,v,1,lexical
snoot@adj,snoot,adj,1,lexical
snooze@n,snooze,n,2,lexical
snooze@n:gerund,snooze,n:gerund,1,lexical
snooze@part,snooze,part,4,lexical
snoozie@wplay,snoozie,wplay,1,non-lexical
snore@n,snore,n,2,lexical
snore@n:gerund,snore,n:gerund,8,lexical
snore@part,snore,part,17,lexical
snore@v,snore,v,16,lexical
snorkel@n,snorkel,n,3,lexical
snorkel@part,snorkel,part,1,lexical
snort@n,snort,n,4,lexical
snort@n:gerund,snort,n:gerund,1,lexical
snort@part,snort,part,4,lexical
snort@v,snort,v,9,lexical
snortle@wplay,snortle,wplay,1,non-lexical
snortling@wplay,snortling,wplay,1,non-lexical
snout@n,snout,n,7,lexical
snow@adj,snow,adj,4,lexical
snow@n,snow,n,75,lexical
snow@part,snow,part,2,lexical
snow@v,snow,v,2,lexical
snowpuff@n:prop,snowpuff,n:prop,4,non-lexical
snozzcumber@n:prop,snozzcumber,n:prop,25,non-lexical
snozzcumbers@n:prop,snozzcumbers,n:prop,19,non-lexical
snub@v,snub,v,1,lexical
snuffle@part,snuffle,part,2,lexical
snuffle@v,snuffle,v,3,lexical
snug@adj,snug,adj,6,lexical
snug@adv,snug,adv,2,lexical
snug@v,snug,v,1,lexical
snuggle@adj,snuggle,adj,2,lexical
snuggle@part,snuggle,part,1,lexical
snuggle@v,snuggle,v,5,lexical
snushell@adj,snushell,adj,5,lexical
snushell@n:prop,snushell,n:prop,4,non-lexical
so@adv,so,adv,817,non-lexical
so@co,so,co,323,non-lexical
so@conj,so,conj,124,non-lexical
soak@n,soak,n,4,lexical
soak@n:gerund,soak,n:gerund,1,lexical
soak@part,soak,part,4,lexical
soak@v,soak,v,3,lexical
soap@adj,soap,adj,3,lexical
soap@n,soap,n,18,lexical
soar@v,soar,v,4,lexical
sob@n,sob,n,2,lexical
sob@part,sob,part,3,lexical
sob@v,sob,v,9,lexical
social@n:gerund,social,n:gerund,1,lexical
society@n,society,n,3,lexical
sock@n,sock,n,40,lexical
sock@v,sock,v,2,lexical
socket@n,socket,n,2,lexical
soda@n,soda,n,2,lexical
sofa@n,sofa,n,35,lexical
sofa@unk,sofa,unk,1,non-lexical
soft@adj,soft,adj,48,lexical
soft@adv,soft,adv,20,lexical
soft@n,soft,n,1,lexical
softball@n,softball,n,1,lexical
soften@v,soften,v,1,lexical
sog@wplay,sog,wplay,1,non-lexical
soggy@adj,soggy,adj,4,lexical
soil@n,soil,n,5,lexical
soil@v,soil,v,1,lexical
soldier@n,soldier,n,41,lexical
sole@n,sole,n,1,lexical
solemn@adj,solemn,adj,4,lexical
solemn@adv,solemn,adv,7,lexical
solid@adj,solid,adj,1,lexical
solid@n,solid,n,1,lexical
solitary@n,solitary,n,1,lexical
solly@n:prop,solly,n:prop,2,non-lexical
solo@n,solo,n,1,lexical
solomon@adj,solomon,adj,1,lexical
solomon@n:prop,solomon,n:prop,2,non-lexical
solution@n,solution,n,1,lexical
solve@v,solve,v,2,lexical
some@pro:indef,some,pro:indef,47,non-lexical
some@qn,some,qn,396,non-lexical
somebody@pro:indef,somebody,pro:indef,24,non-lexical
someday@adv:tem,someday,adv:tem,5,non-lexical
somehow@adv,somehow,adv,12,non-lexical
someone@adj,someone,adj,8,lexical
someone@pro:indef,someone,pro:indef,106,non-lexical
somersault@n,somersault,n,5,lexical
somersault@part,somersault,part,1,lexical
somersault@v,somersault,v,1,lexical
something@adj,something,adj,2,lexical
something@pro:indef,something,pro:indef,293,non-lexical
sometime@adv,sometime,adv,2,non-lexical
sometimes@adv,sometimes,adv,83,non-lexical
somewhat@adv,somewhat,adv,1,non-lexical
somewhere@adv,somewhere,adv,21,non-lexical
somewhere@n,somewhere,n,6,lexical
somniphobia@n,somniphobia,n,1,lexical
somnus@unk,somnus,unk,1,non-lexical
son@adj,son,adj,1,lexical
son@n,son,n,16,lexical
sonar@n,sonar,n,1,lexical
song@n,song,n,55,lexical
soo@wplay,soo,wplay,1,non-lexical
soon@adj,soon,adj,38,lexical
soon@adv,soon,adv,148,non-lexical
soooooooooo@wplay,soooooooooo,wplay,1,non-lexical
soot@n,soot,n,3,lexical
soothe@adv,soothe,adv,1,non-lexical
soothe@n:gerund,soothe,n:gerund,1,lexical
soothe@part,soothe,part,1,lexical
soothe@v,soothe,v,2,lexical
sop@n:gerund,sop,n:gerund,2,lexical
sophie@adj,sophie,adj,26,lexical
sophie@n:prop,sophie,n:prop,600,non-lexical
sophie_johnson@n:prop,sophie_johnson,n:prop,2,non-lexical
sophistication@n,sophistication,n,1,lexical
soraya@n:prop,soraya,n:prop,4,non-lexical
sorbet@n,sorbet,n,1,lexical
sorcerer@n,sorcerer,n,1,lexical
sore@adj,sore,adj,12,lexical
sore@n,sore,n,3,lexical
sorrel@adj,sorrel,adj,1,lexical
sorrel@n,sorrel,n,3,lexical
sorrel@n:prop,sorrel,n:prop,1,non-lexical
sorrow@adj,sorrow,adj,2,lexical
sorrow@n,sorrow,n,1,lexical
sorry@adj,sorry,adj,79,lexical
sorry@co,sorry,co,28,non-lexical
sort@n,sort,n,75,lexical
sort@part,sort,part,2,lexical
sort@v,sort,v,8,lexical
sos@n:prop,sos,n:prop,2,non-lexical
soul@adj,soul,adj,1,lexical
soul@n,soul,n,6,lexical
sound@adj,sound,adj,11,lexical
sound@adv,sound,adv,6,lexical
sound@n,sound,n,97,lexical
sound@n:gerund,sound,n:gerund,1,lexical
sound@part,sound,part,15,lexical
sound@v,sound,v,50,lexical
soup@n,soup,n,8,lexical
sour@adj,sour,adj,28,lexical
sour@adv,sour,adv,5,lexical
sour@v,sour,v,20,lexical
souri@wplay,souri,wplay,1,non-lexical
south@adj,south,adj,9,lexical
south@adv,south,adv,2,non-lexical
south@n,south,n,5,lexical
souvenir@n,souvenir,n,3,lexical
sovereign@adj,sovereign,adj,1,lexical
sow@n,sow,n,7,lexical
sow@part,sow,part,1,lexical
sow@v,sow,v,2,lexical
sox@wplay,sox,wplay,1,non-lexical
space@n,space,n,26,lexical
space@v,space,v,1,lexical
spade@n,spade,n,7,lexical
spaghetti@n,spaghetti,n,14,lexical
spangle@adj,spangle,adj,1,lexical
spaniel@n,spaniel,n,1,lexical
spanish@adj,spanish,adj,4,lexical
spank@v,spank,v,1,lexical
spanner@n,spanner,n,1,lexical
spare@adj,spare,adj,5,lexical
spare@v,spare,v,2,lexical
spark@n,spark,n,7,lexical
spark@part,spark,part,1,lexical
sparkle@adj,sparkle,adj,6,lexical
sparkle@n,sparkle,n,10,lexical
sparkle@n:gerund,sparkle,n:gerund,1,lexical
sparkle@part,sparkle,part,9,lexical
sparkle@v,sparkle,v,2,lexical
sparrow@n,sparrow,n,10,lexical
spat@n,spat,n,1,lexical
spatter@n:gerund,spatter,n:gerund,1,lexical
spatter@v,spatter,v,1,lexical
speak@adj,speak,adj,1,lexical
speak@part,speak,part,24,lexical
speak@v,speak,v,49,lexical
special@adj,special,adj,38,lexical
special@adv,special,adv,5,lexical
special@n,special,n,35,lexical
special@v,special,v,1,lexical
specimen@n,specimen,n,1,lexical
speck@adj,speck,adj,1,lexical
speck@n,speck,n,5,lexical
specs@n,specs,n,2,lexical
spectacle@n,spectacle,n,1,lexical
spectacular@adj,spectacular,adj,10,lexical
spectator@n,spectator,n,4,lexical
spectre@n,spectre,n,1,lexical
speech@adj,speech,adj,2,lexical
speech@n,speech,n,14,lexical
speed@n,speed,n,28,lexical
speed@part,speed,part,1,lexical
speed@v,speed,v,12,lexical
spell@n,spell,n,19,lexical
spell@n:gerund,spell,n:gerund,1,lexical
spell@part,spell,part,4,lexical
spell@v,spell,v,2,lexical
spellbinding@adj,spellbinding,adj,1,lexical
spend@n,spend,n,1,lexical
spend@n:gerund,spend,n:gerund,1,lexical
spend@part,spend,part,6,lexical
spend@v,spend,v,24,lexical
spew@v,spew,v,1,lexical
spi_spi_spider@wplay,spi_spi_spider,wplay,1,non-lexical
spice@adj,spice,adj,2,lexical
spice@n,spice,n,3,lexical
spider@adj,spider,adj,1,lexical
spider@n,spider,n,37,lexical
spider_man@n:prop,spider_man,n:prop,3,non-lexical
spiderfish@n,spiderfish,n,2,lexical
spigot@n,spigot,n,3,lexical
spike@adj,spike,adj,8,lexical
spike@n,spike,n,4,lexical
spikesticking@wplay,spikesticking,wplay,3,non-lexical
spill@n,spill,n,1,lexical
spill@n:gerund,spill,n:gerund,1,lexical
spill@part,spill,part,3,lexical
spill@v,spill,v,4,lexical
spin@n,spin,n,12,lexical
spin@part,spin,part,13,lexical
spin@v,spin,v,12,lexical
spinach@n,spinach,n,3,lexical
spindle@adj,spindle,adj,2,lexical
spine@n,spine,n,9,lexical
spiral@n,spiral,n,1,lexical
spire@n,spire,n,3,lexical
spirit@n,spirit,n,5,lexical
spissing@wplay,spissing,wplay,1,non-lexical
spit@n,spit,n,4,lexical
spit@n:gerund,spit,n:gerund,1,lexical
spit@part,spit,part,8,lexical
spit@v,spit,v,8,lexical
spite@adj,spite,adj,1,lexical
spite@n,spite,n,3,lexical
splash@adj,splash,adj,1,lexical
splash@n,splash,n,31,lexical
splash@part,splash,part,9,lexical
splash@v,splash,v,6,lexical
splashplunking@wplay,splashplunking,wplay,1,non-lexical
splat@n,splat,n,7,lexical
splat@v,splat,v,1,lexical
splatch_winkling@wplay,splatch_winkling,wplay,1,non-lexical
splay@part,splay,part,1,lexical
splendid@adj,splendid,adj,21,lexical
splendid@adv,splendid,adv,2,lexical
spliffling@wplay,spliffling,wplay,1,non-lexical
splinter@n,splinter,n,2,lexical
splinter@v,splinter,v,1,lexical
splish@n,splish,n,1,lexical
splish@v,splish,v,5,lexical
split@n,split,n,3,lexical
split@part,split,part,1,lexical
split@v,split,v,3,lexical
splitzwiggled@wplay,splitzwiggled,wplay,1,non-lexical
splodge@n,splodge,n,22,lexical
splongy@wplay,splongy,wplay,1,non-lexical
splosh@n,splosh,n,1,lexical
splosh@part,splosh,part,1,lexical
splosh@v,splosh,v,22,lexical
splutter@part,splutter,part,3,lexical
splutter@v,splutter,v,10,lexical
spoil@part,spoil,part,2,lexical
spoil@v,spoil,v,5,lexical
spoke@n,spoke,n,8,lexical
sponge@n,sponge,n,11,lexical
spook@adj,spook,adj,20,lexical
spook@n,spook,n,11,lexical
spook@part,spook,part,2,lexical
spook@v,spook,v,4,lexical
spooktacles@wplay,spooktacles,wplay,1,non-lexical
spoon@n,spoon,n,56,lexical
spoondrift@wplay,spoondrift,wplay,1,non-lexical
sport@n,sport,n,16,lexical
sport@part,sport,part,2,lexical
spot@adj,spot,adj,18,lexical
spot@n,spot,n,45,lexical
spot@n:gerund,spot,n:gerund,1,lexical
spot@part,spot,part,23,lexical
spot@v,spot,v,28,lexical
spotlight@n,spotlight,n,2,lexical
spout@n,spout,n,2,lexical
spout@part,spout,part,1,lexical
spout@v,spout,v,3,lexical
sprawl@n,sprawl,n,1,lexical
sprawl@part,sprawl,part,3,lexical
sprawl@v,sprawl,v,3,lexical
spray@n,spray,n,5,lexical
spray@part,spray,part,3,lexical
spray@v,spray,v,8,lexical
spread@n,spread,n,4,lexical
spread@n:gerund,spread,n:gerund,2,lexical
spread@part,spread,part,9,lexical
spread@v,spread,v,20,lexical
spring@adj,spring,adj,1,lexical
spring@n,spring,n,42,lexical
spring@part,spring,part,3,lexical
spring@v,spring,v,12,lexical
sprinkle@n,sprinkle,n,3,lexical
sprinkle@part,sprinkle,part,2,lexical
sprinkle@v,sprinkle,v,1,lexical
sprint@n,sprint,n,1,lexical
sprint@part,sprint,part,1,lexical
sprint@v,sprint,v,2,lexical
sprite@n,sprite,n,14,lexical
sprout@part,sprout,part,1,lexical
sprout@v,sprout,v,3,lexical
spruce@n,spruce,n,1,lexical
spume@n,spume,n,1,lexical
spunky@adj,spunky,adj,1,lexical
spurt@n,spurt,n,2,lexical
spy@n,spy,n,15,lexical
spy@part,spy,part,3,lexical
spy@v,spy,v,10,lexical
squabble@n,squabble,n,1,lexical
squabble@part,squabble,part,1,lexical
squackling@wplay,squackling,wplay,2,non-lexical
squak@v,squak,v,1,lexical
square@adj,square,adj,10,lexical
square@adv,square,adv,4,non-lexical
square@n,square,n,3,lexical
square@v,square,v,3,lexical
squash@adj,squash,adj,4,lexical
squash@n,squash,n,30,lexical
squash@part,squash,part,3,lexical
squash@v,squash,v,22,lexical
squat@adj,squat,adj,1,lexical
squat@n,squat,n,1,lexical
squat@part,squat,part,1,lexical
squawk@n:gerund,squawk,n:gerund,1,lexical
squawk@part,squawk,part,2,lexical
squawk@v,squawk,v,16,lexical
squeak@adj,squeak,adj,14,lexical
squeak@n,squeak,n,10,lexical
squeak@n:gerund,squeak,n:gerund,1,lexical
squeak@part,squeak,part,12,lexical
squeak@v,squeak,v,15,lexical
squeakpip@n:prop,squeakpip,n:prop,1,non-lexical
squeakpips@n:prop,squeakpips,n:prop,1,non-lexical
squeal@n,squeal,n,4,lexical
squeal@n:gerund,squeal,n:gerund,1,lexical
squeal@part,squeal,part,10,lexical
squeal@v,squeal,v,11,lexical
squeeze@n,squeeze,n,23,lexical
squeeze@part,squeeze,part,3,lexical
squeeze@v,squeeze,v,14,lexical
squelch@adj,squelch,adj,3,lexical
squelch@n,squelch,n,1,lexical
squelch@n:gerund,squelch,n:gerund,1,lexical
squelch@v,squelch,v,7,lexical
squerch@co,squerch,co,5,non-lexical
squib@wplay,squib,wplay,1,non-lexical
squibbling@wplay,squibbling,wplay,1,non-lexical
squid@n,squid,n,3,lexical
squiddler@wplay,squiddler,wplay,1,non-lexical
squidgiest@wplay,squidgiest,wplay,1,non-lexical
squidgy@n,squidgy,n,2,lexical
squiff_squiddled@wplay,squiff_squiddled,wplay,1,non-lexical
squifflerotter@n:prop,squifflerotter,n:prop,1,non-lexical
squifflerotters@n:prop,squifflerotters,n:prop,1,non-lexical
squiffling@wplay,squiffling,wplay,1,non-lexical
squiffy@wplay,squiffy,wplay,1,non-lexical
squiggle@n,squiggle,n,2,lexical
squiggle@n:gerund,squiggle,n:gerund,1,lexical
squiggle@part,squiggle,part,1,lexical
squiggle@v,squiggle,v,3,lexical
squigglesford@n:prop,squigglesford,n:prop,1,non-lexical
squiggly@n,squiggly,n,4,lexical
squiiiiish@co,squiiiiish,co,1,non-lexical
squimpy@wplay,squimpy,wplay,1,non-lexical
squinkers@wplay,squinkers,wplay,1,non-lexical
squinky@wplay,squinky,wplay,1,non-lexical
squint@part,squint,part,3,lexical
squirm@part,squirm,part,5,lexical
squirm@v,squirm,v,11,lexical
squirrel@adj,squirrel,adj,2,lexical
squirrel@n,squirrel,n,33,lexical
squirt@n,squirt,n,3,lexical
squirt@part,squirt,part,5,lexical
squirt@v,squirt,v,5,lexical
squish@part,squish,part,2,lexical
squish@v,squish,v,11,lexical
squishy@adj,squishy,adj,2,lexical
squishy@n,squishy,n,12,lexical
squishy_mcfluff@n:prop,squishy_mcfluff,n:prop,3,non-lexical
squizzly@wplay,squizzly,wplay,1,non-lexical
squoggle@wplay,squoggle,wplay,1,non-lexical
ssh@co,ssh,co,1,non-lexical
sssch@co,sssch,co,1,non-lexical
st_ives@n:prop,st_ives,n:prop,1,non-lexical
stable@n,stable,n,10,lexical
stack@n,stack,n,2,lexical
stack@part,stack,part,1,lexical
stack@v,stack,v,1,lexical
staff@n,staff,n,1,lexical
stag@n,stag,n,3,lexical
stage@n,stage,n,20,lexical
stagger@part,stagger,part,3,lexical
stagger@v,stagger,v,10,lexical
stain@n,stain,n,1,lexical
stain@v,stain,v,2,lexical
stair@n,stair,n,54,lexical
staircase@n,staircase,n,3,lexical
stake@n,stake,n,1,lexical
stake@v,stake,v,1,lexical
stale@adj,stale,adj,2,lexical
stalk@n,stalk,n,1,lexical
stalk@v,stalk,v,5,lexical
stall@n,stall,n,9,lexical
stallion@n,stallion,n,3,lexical
stammer@v,stammer,v,5,lexical
stamp@n,stamp,n,15,lexical
stamp@n:gerund,stamp,n:gerund,2,lexical
stamp@part,stamp,part,3,lexical
stamp@v,stamp,v,8,lexical
stampede@v,stampede,v,3,lexical
stand@n,stand,n,22,lexical
stand@n:gerund,stand,n:gerund,2,lexical
stand@part,stand,part,52,lexical
stand@v,stand,v,202,lexical
standard@adj,standard,adj,1,lexical
standard@n,standard,n,1,lexical
stanley@n:prop,stanley,n:prop,2,non-lexical
star@n,star,n,113,lexical
star@part,star,part,2,lexical
star@v,star,v,3,lexical
starch@part,starch,part,1,lexical
stardom@n,stardom,n,2,lexical
stare@n,stare,n,8,lexical
stare@n:gerund,stare,n:gerund,2,lexical
stare@part,stare,part,40,lexical
stare@v,stare,v,65,lexical
starfish@n,starfish,n,8,lexical
starling@n,starling,n,2,lexical
start@n,start,n,18,lexical
start@part,start,part,28,lexical
start@v,start,v,195,lexical
startle@part,startle,part,10,lexical
startle@v,startle,v,1,lexical
starve@part,starve,part,5,lexical
starve@v,starve,v,3,lexical
stash@n,stash,n,1,lexical
stash@v,stash,v,2,lexical
state@n,state,n,7,lexical
state@part,state,part,2,lexical
station@n,station,n,25,lexical
stationery@n,stationery,n,5,lexical
statue@n,statue,n,9,lexical
stay@cop,stay,cop,9,lexical
stay@n,stay,n,2,lexical
stay@n:gerund,stay,n:gerund,1,lexical
stay@part,stay,part,17,lexical
stay@v,stay,v,135,lexical
steady@adv,steady,adv,4,lexical
steady@v,steady,v,2,lexical
steak@n,steak,n,2,lexical
steal@n:gerund,steal,n:gerund,3,lexical
steal@part,steal,part,7,lexical
steal@v,steal,v,20,lexical
steam@adj,steam,adj,1,lexical
steam@n,steam,n,11,lexical
steam@part,steam,part,2,lexical
steam@v,steam,v,1,lexical
steed@n,steed,n,1,lexical
steel@n,steel,n,4,lexical
steep@adj,steep,adj,5,lexical
steep@adv,steep,adv,1,non-lexical
steeplejack@n,steeplejack,n,1,lexical
steer@n:gerund,steer,n:gerund,1,lexical
steer@part,steer,part,1,lexical
steer@v,steer,v,4,lexical
stegosaurus@n,stegosaurus,n,3,lexical
stem@n,stem,n,6,lexical
stem@part,stem,part,1,lexical
step@n,step,n,63,lexical
step@n:gerund,step,n:gerund,8,lexical
step@part,step,part,20,lexical
step@v,step,v,22,lexical
steppy@wplay,steppy,wplay,2,non-lexical
stern@adj,stern,adj,1,lexical
stern@adv,stern,adv,4,lexical
stern@n,stern,n,1,lexical
stethoscope@n,stethoscope,n,5,lexical
steve@adj,steve,adj,9,lexical
steve@n:prop,steve,n:prop,49,non-lexical
steven@n:prop,steven,n:prop,6,non-lexical
stew@n,stew,n,3,lexical
stew@v,stew,v,1,lexical
steward@adj,steward,adj,1,lexical
steward@n,steward,n,4,lexical
stick@adj,stick,adj,2,lexical
stick@n,stick,n,140,lexical
stick@n:gerund,stick,n:gerund,2,lexical
stick@part,stick,part,60,lexical
stick@v,stick,v,74,lexical
sticker@n,sticker,n,3,lexical
sticker@v,sticker,v,5,lexical
sticky@n,sticky,n,35,lexical
stiff@adj,stiff,adj,2,lexical
stiff@adv,stiff,adv,2,lexical
stiff@n,stiff,n,3,lexical
stiffen@part,stiffen,part,1,lexical
stiffen@v,stiffen,v,2,lexical
stile@n,stile,n,1,lexical
still@adj,still,adj,34,lexical
still@adv,still,adv,253,non-lexical
still@v,still,v,4,lexical
stilt@n,stilt,n,1,lexical
stilton@n:prop,stilton,n:prop,1,non-lexical
sting@n,sting,n,4,lexical
sting@n:gerund,sting,n:gerund,3,lexical
sting@part,sting,part,8,lexical
sting@v,sting,v,3,lexical
stink@adj,stink,adj,10,lexical
stink@n,stink,n,5,lexical
stink@part,stink,part,1,lexical
stink@v,stink,v,4,lexical
stippy@wplay,stippy,wplay,2,non-lexical
stir@n,stir,n,1,lexical
stir@n:gerund,stir,n:gerund,2,lexical
stir@part,stir,part,10,lexical
stir@v,stir,v,26,lexical
stitch@n,stitch,n,1,lexical
stitch@part,stitch,part,1,lexical
stitch@v,stitch,v,1,lexical
stock@n,stock,n,4,lexical
stock@n:gerund,stock,n:gerund,8,lexical
stock@part,stock,part,3,lexical
stomach@n,stomach,n,14,lexical
stomachache@n,stomachache,n,2,lexical
stomp@on,stomp,on,4,non-lexical
stomp@part,stomp,part,4,lexical
stomp@v,stomp,v,10,lexical
stone@adj,stone,adj,4,lexical
stone@n,stone,n,52,lexical
stone@v,stone,v,5,lexical
stool@n,stool,n,9,lexical
stoop@part,stoop,part,1,lexical
stoop@v,stoop,v,3,lexical
stop@adj,stop,adj,1,lexical
stop@n,stop,n,105,lexical
